Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
,,2.4,40,,6
176.141,5,2.4,40,30,6
176.141,10,2.4,40,30,6
157.248,15,2.4,40,30,6
90.839,20,2.4,40,30,6
90.6908,25,2.4,40,30,6
90.4545,30,2.4,40,30,6
90.4485,35,2.4,40,30,6
90.4485,40,2.4,40,30,6
89.2121,45,2.4,40,30,6
89.1986,50,2.4,40,30,6
89.1974,55,2.4,40,30,6
89.1971,60,2.4,40,30,6
89.1813,65,2.4,40,30,6
44.7265,70,2.4,40,30,6
44.719,75,2.4,40,30,6
44.7188,80,2.4,40,30,6
0,85,2.4,40,30,6
0,90,2.4,40,30,6
0,95,2.4,40,30,6
0,100,2.4,40,30,6
179.262,0,5,40,30,6
179.262,5,5,40,30,6
111.798,10,5,40,30,6
92.346,15,5,40,30,6
92.0351,20,5,40,30,6
92.0302,25,5,40,30,6
90.6147,30,5,40,30,6
90.6122,35,5,40,30,6
90.5774,40,5,40,30,6
45.4207,45,5,40,30,6
38.6794,50,5,40,30,6
0,55,5,40,30,6
0,60,5,40,30,6
0,65,5,40,30,6
0,70,5,40,30,6
0,75,5,40,30,6
0,80,5,40,30,6
0,85,5,40,30,6
0,90,5,40,30,6
0,95,5,40,30,6
0,100,5,40,30,6
179.262,0,6,40,30,6
179.262,5,6,40,30,6
107.128,10,6,40,30,6
92.346,15,6,40,30,6
92.0302,20,6,40,30,6
90.6259,25,6,40,30,6
90.6134,30,6,40,30,6
90.5932,35,6,40,30,6
45.4207,40,6,40,30,6
45.4036,45,6,40,30,6
0,50,6,40,30,6
0,55,6,40,30,6
0,60,6,40,30,6
0,65,6,40,30,6
0,70,6,40,30,6
0,75,6,40,30,6
0,80,6,40,30,6
0,85,6,40,30,6
0,90,6,40,30,6
0,95,6,40,30,6
0,100,6,40,30,6
